iter	Passed	Remaining
0	136	136573
1	138	68925
2	139	46385
3	140	35096
4	142	28340
5	143	23821
6	145	20604
7	146	18209
8	148	16346
9	149	14840
10	151	13635
11	153	12635
12	155	11773
13	156	11012
14	157	10355
15	158	9771
16	159	9236
17	160	8760
18	161	8333
19	162	7951
20	163	7607
21	164	7291
22	164	7006
23	165	6744
24	166	6504
25	167	6282
26	168	6076
27	169	5883
28	170	5704
29	171	5537
30	172	5381
31	173	5235
32	174	5100
33	174	4970
34	175	4848
35	176	4733
36	177	4624
37	178	4520
38	179	4421
39	180	4326
40	181	4237
41	182	4153
42	182	4072
43	183	3995
44	184	3921
45	185	3850
46	186	3779
47	187	3711
48	187	3645
49	188	3582
50	189	3521
51	190	3464
52	190	3409
53	191	3356
54	192	3304
55	192	3251
56	193	3201
57	194	3151
58	194	3104
59	195	3058
60	195	3014
61	196	2971
62	196	2929
63	197	2889
64	198	2850
65	198	2812
66	199	2775
67	199	2735
68	200	2700
69	200	2666
70	201	2634
71	201	2602
72	202	2571
73	203	2541
74	203	2513
75	204	2487
76	205	2460
77	205	2433
78	206	2407
79	207	2381
80	207	2356
81	208	2331
82	208	2308
83	209	2285
84	209	2260
85	210	2238
86	210	2213
87	211	2192
88	212	2171
89	212	2150
90	213	2130
91	213	2110
92	214	2090
93	215	2073
94	215	2055
95	216	2037
96	216	2019
97	217	2002
98	218	1985
99	218	1968
100	219	1952
101	219	1934
102	220	1918
103	220	1903
104	221	1888
105	222	1873
106	222	1858
107	223	1843
108	223	1829
109	224	1815
110	224	1801
111	225	1788
112	226	1774
113	226	1761
114	227	1748
115	227	1735
116	228	1722
117	228	1710
118	229	1697
119	229	1685
120	230	1674
121	231	1663
122	231	1649
123	231	1638
124	232	1627
125	233	1617
126	233	1607
127	234	1595
128	234	1585
129	235	1575
130	235	1565
131	236	1555
132	237	1545
133	237	1535
134	238	1526
135	238	1516
136	239	1508
137	239	1498
138	240	1489
139	241	1480
140	241	1471
141	242	1463
142	242	1454
143	243	1446
144	243	1438
145	244	1430
146	245	1422
147	245	1414
148	246	1406
149	246	1399
150	247	1391
151	248	1383
152	248	1376
153	249	1369
154	249	1361
155	250	1354
156	250	1347
157	251	1340
158	252	1333
159	252	1326
160	253	1319
161	253	1313
162	254	1306
163	255	1300
164	255	1293
165	256	1287
166	256	1280
167	257	1274
168	257	1268
169	258	1262
170	259	1256
171	259	1250
172	260	1245
173	261	1239
174	261	1233
175	262	1227
176	262	1221
177	263	1216
178	263	1210
179	264	1204
180	264	1198
181	265	1192
182	265	1187
183	266	1181
184	267	1176
